aou,SPEC,term,Estimate,std.error,p.value
7350,BCCH,deltaED,-0.003430355,0.00187087,0.066719132
7350,BCCH,tmin,-0.001367121,0.00182987,0.45499474
7350,BCCH,deltaProp,0.000532889,0.001871609,0.775856754
7350,BCCH,tmax:deltaED,-0.000664764,0.002042062,0.744775885
7350,BCCH,deltaED:tmin,0.002316479,0.001758768,0.187803984
5110,COGR,tmax,0.001757768,0.002616681,0.501739847
5110,COGR,deltaED,0.00320012,0.00231975,0.167737254
5110,COGR,tmin,-0.003538968,0.002706283,0.190979921
5110,COGR,deltaProp,-0.005707384,0.002105658,0.006718196
5110,COGR,tmax:deltaED,-0.003295464,0.002911038,0.257610165
5110,COGR,deltaED:tmin,0.00553908,0.002876917,0.054185217
6190,CEDW,tmax,0.002389176,0.002647747,0.366874617
6190,CEDW,deltaED,-0.001971312,0.002711034,0.467137826
6190,CEDW,tmin,-8.45E-05,0.002773746,0.975700284
6190,CEDW,deltaProp,0.002590162,0.002765817,0.349020498
6190,CEDW,tmax:deltaED,-0.000192236,0.00287613,0.946710384
6190,CEDW,deltaED:tmin,-0.003326157,0.002614956,0.203382196
7180,CARW,tmax,-0.002315029,0.00226999,0.30780376
7180,CARW,deltaED,-0.003058396,0.002077611,0.141001009
7180,CARW,tmin,0.000834717,0.00227023,0.713112147
7180,CARW,deltaProp,0.000967576,0.001695541,0.568230439
7180,CARW,tmax:deltaED,-0.001617423,0.002564211,0.528192047
7180,CARW,deltaED:tmin,0.00029851,0.002643609,0.910095837
7550,WOTH,tmax,0.006613319,0.002460997,0.007204254
7550,WOTH,deltaED,-0.002577273,0.002159324,0.232651885
7550,WOTH,tmin,-0.004246803,0.00250805,0.090404287
7550,WOTH,deltaProp,0.00370186,0.001942266,0.056656806
7550,WOTH,tmax:deltaED,0.000665664,0.002612702,0.798893072
7550,WOTH,deltaED:tmin,-0.002808368,0.002607268,0.281421936
6870,AMRE,tmax,0.004544155,0.003777634,0.229010956
6870,AMRE,deltaED,0.000447376,0.003552129,0.899774831
6870,AMRE,tmin,-0.007719243,0.004179522,0.064758689
6870,AMRE,deltaProp,0.00700617,0.004097875,0.087319864
6870,AMRE,tmax:deltaED,-0.000723998,0.003854397,0.851004462
6870,AMRE,deltaED:tmin,-0.001387112,0.003941639,0.72490395
5070,BAOR,tmax,0.001825917,0.002455578,0.457131115
5070,BAOR,deltaED,0.004335976,0.002656529,0.102638156
5070,BAOR,tmin,-0.005336535,0.002584298,0.038924503
5070,BAOR,deltaProp,0.003093924,0.002350381,0.188056697
5070,BAOR,tmax:deltaED,0.000991213,0.002950822,0.736938146
5070,BAOR,deltaED:tmin,-0.000788846,0.003207269,0.805716586
5870,EATO,tmax,0.008013893,0.002225557,0.00031718
5870,EATO,deltaED,-0.000776652,0.001955247,0.691209516
5870,EATO,tmin,-0.005487266,0.002277879,0.01599907
5870,EATO,deltaProp,0.001562998,0.001756106,0.37344649
5870,EATO,tmax:deltaED,-0.004273056,0.002449859,0.081123352
5870,EATO,deltaED:tmin,-0.004377006,0.002510808,0.081287141
4770,BLJA,tmax,0.000936573,0.001528466,0.540039182
4770,BLJA,deltaED,0.005696511,0.001367727,3.11E-05
4770,BLJA,tmin,-0.005500551,0.001588107,0.000533019
4770,BLJA,deltaProp,0.000120167,0.001227674,0.922025824
4770,BLJA,tmax:deltaED,0.001588999,0.001657556,0.337740565
4770,BLJA,deltaED:tmin,-0.002976719,0.001620744,0.06626347
4120,NOFL,tmax,0.002427789,0.002067727,0.240341327
4120,NOFL,deltaED,0.006863493,0.001845452,0.000199903
4120,NOFL,tmin,-0.009344876,0.002192202,2.02E-05
4120,NOFL,deltaProp,-0.002448281,0.00172653,0.156180291
4120,NOFL,tmax:deltaED,-0.001246306,0.002237753,0.577564825
4120,NOFL,deltaED:tmin,-0.00073443,0.002200856,0.738604348
4520,GCFL,tmax,-0.002110727,0.002027476,0.297847026
4520,GCFL,deltaED,-0.007749705,0.001851042,2.83E-05
4520,GCFL,tmin,0.000687674,0.002170452,0.751369238
4520,GCFL,deltaProp,-0.004285385,0.001593604,0.007164168
4520,GCFL,tmax:deltaED,-0.000230743,0.002259674,0.918666634
4520,GCFL,deltaED:tmin,0.005538964,0.002296407,0.01586469
6670,BTNW,tmax,-0.001410732,0.004457557,0.751637514
6670,BTNW,deltaED,0.003278769,0.004165152,0.431170168
6670,BTNW,tmin,-0.00654355,0.004537981,0.149315933
6670,BTNW,deltaProp,0.005564246,0.004053449,0.169839738
6670,BTNW,tmax:deltaED,0.002782891,0.004392188,0.526341761
6670,BTNW,deltaED:tmin,0.009972603,0.004516893,0.027255016
6080,SCTA,tmax,0.003016382,0.001967478,0.125246021
6080,SCTA,deltaED,0.003309781,0.001904413,0.082219051
6080,SCTA,tmin,0.000400824,0.00203009,0.84348219
6080,SCTA,deltaProp,-0.000154939,0.001815984,0.93200723
6080,SCTA,tmax:deltaED,0.000519919,0.002245596,0.816904484
6080,SCTA,deltaED:tmin,-0.001283248,0.002395274,0.592137088
6280,YTVI,tmax,0.00212993,0.002749773,0.438585431
6280,YTVI,deltaED,0.000231252,0.002354385,0.921756077
6280,YTVI,tmin,-0.00333482,0.002716826,0.219646271
6280,YTVI,deltaProp,0.002171761,0.001885709,0.249446494
6280,YTVI,tmax:deltaED,-0.007381047,0.00306019,0.015867138
6280,YTVI,deltaED:tmin,0.004208035,0.003238296,0.193786198
5930,NOCA,tmax,-0.002857649,0.001392282,0.040121858
5930,NOCA,deltaED,0.002267693,0.001231206,0.065497616
5930,NOCA,tmin,0.003296595,0.001458982,0.023851214
5930,NOCA,deltaProp,-0.000454521,0.001069353,0.670805502
5930,NOCA,tmax:deltaED,0.001326786,0.001603833,0.40809015
5930,NOCA,deltaED:tmin,0.001404649,0.001597764,0.379328334
6240,REVI,tmax,-5.72E-05,0.001779379,0.9743517
6240,REVI,deltaED,-0.000371763,0.001683311,0.825207507
6240,REVI,tmin,-0.002429416,0.001858709,0.191197345
6240,REVI,deltaProp,0.003658486,0.001537411,0.0173295
6240,REVI,tmax:deltaED,-0.002335861,0.001943102,0.229313259
6240,REVI,deltaED:tmin,0.002417367,0.001954757,0.216213842
6730,PRAW,tmax,0.002787006,0.004159881,0.50287524
6730,PRAW,deltaED,-0.002773903,0.004021243,0.490312261
6730,PRAW,tmin,-0.005145789,0.004112491,0.210840203
6730,PRAW,deltaProp,-0.000368142,0.003298056,0.911121531
6730,PRAW,tmax:deltaED,-0.004580532,0.00488045,0.347963415
6730,PRAW,deltaED:tmin,-0.010324915,0.004627383,0.02566362
6310,WEVI,tmax,0.005342071,0.00310656,0.085503392
6310,WEVI,deltaED,-0.00074866,0.00269533,0.781195218
6310,WEVI,tmin,-0.007095924,0.003200845,0.026630571
6310,WEVI,deltaProp,0.002257999,0.002157628,0.295321501
6310,WEVI,tmax:deltaED,0.002431027,0.003516714,0.489390722
6310,WEVI,deltaED:tmin,-0.001046201,0.003567778,0.769341733
7040,GRCA,tmax,0.003753339,0.001696201,0.026911972
7040,GRCA,deltaED,-0.00185776,0.001675908,0.267641789
7040,GRCA,tmin,-0.000144313,0.001803674,0.936229056
7040,GRCA,deltaProp,-0.002998701,0.00155989,0.05455795
7040,GRCA,tmax:deltaED,0.001837386,0.00189825,0.333076048
7040,GRCA,deltaED:tmin,0.001485692,0.002008098,0.459390715
6740,OVEN,tmax,0.00357044,0.002124887,0.0928996
6740,OVEN,deltaED,0.002201699,0.002153787,0.306664643
6740,OVEN,tmin,-0.004118392,0.002122827,0.052373547
6740,OVEN,deltaProp,0.002578777,0.002176211,0.236023617
6740,OVEN,tmax:deltaED,-0.000290886,0.002242347,0.896784732
6740,OVEN,deltaED:tmin,0.000978853,0.002409937,0.684614896
4090,RBWO,tmax,-0.003053498,0.002251692,0.175070416
4090,RBWO,deltaED,0.001958961,0.001988284,0.324500259
4090,RBWO,tmin,0.009045101,0.002275457,7.04E-05
4090,RBWO,deltaProp,0.000608787,0.001672206,0.715811392
4090,RBWO,tmax:deltaED,-0.000366106,0.002568098,0.8866383
4090,RBWO,deltaED:tmin,-9.85E-05,0.00253411,0.968997186
4610,EAWP,tmax,-0.000490838,0.002170256,0.821072368
4610,EAWP,deltaED,-0.00248064,0.001947041,0.202643455
4610,EAWP,tmin,0.001063677,0.002234939,0.634123476
4610,EAWP,deltaProp,0.006552979,0.001746916,0.000176012
4610,EAWP,tmax:deltaED,-0.001294789,0.002416766,0.592129418
4610,EAWP,deltaED:tmin,-0.000340111,0.00244147,0.889208461
7560,VEER,tmax,-0.003579634,0.003123825,0.251830828
7560,VEER,deltaED,-0.014412412,0.003218512,7.54E-06
7560,VEER,tmin,-4.17E-06,0.002850137,0.998831856
7560,VEER,deltaProp,0.001657045,0.002943284,0.57344051
7560,VEER,tmax:deltaED,-0.003322764,0.003439906,0.334071141
7560,VEER,deltaED:tmin,0.008571829,0.003440065,0.012711049
7310,TUTI,tmax,-0.005212004,0.001974615,0.008302754
7310,TUTI,deltaED,-9.91E-05,0.001800762,0.956112174
7310,TUTI,tmin,0.000281836,0.002010653,0.888524594
7310,TUTI,deltaProp,-0.001039506,0.001546789,0.501557298
7310,TUTI,tmax:deltaED,-0.001341281,0.002213908,0.544618757
7310,TUTI,deltaED:tmin,-0.001574654,0.002207096,0.475566834
4900,FICR,tmax,0.00944374,0.006724709,0.160219305
4900,FICR,deltaED,-0.004924347,0.00645245,0.445359183
4900,FICR,tmin,-0.001750025,0.005523596,0.751374754
4900,FICR,deltaProp,0.00263094,0.004249475,0.535836453
4900,FICR,tmax:deltaED,0.012301717,0.008729513,0.158773111
4900,FICR,deltaED:tmin,-0.00222378,0.006199972,0.71983761
5980,INBU,tmax,-0.001797843,0.00182371,0.32422324
5980,INBU,deltaED,0.001252423,0.001566365,0.423958245
5980,INBU,tmin,0.000891595,0.00188888,0.636910374
5980,INBU,deltaProp,0.003217501,0.001431514,0.024600328
5980,INBU,tmax:deltaED,-0.000617585,0.002024777,0.760355498
5980,INBU,deltaED:tmin,-0.002538861,0.00198743,0.201440206
6360,BAWW,tmax,0.009735737,0.003569578,0.006383181
6360,BAWW,deltaED,-0.007073784,0.003444951,0.040036006
6360,BAWW,tmin,-0.001484646,0.003384707,0.660927164
6360,BAWW,deltaProp,0.002121926,0.002775244,0.444515215
