"aou","SPEC","nObs","r2","Estimate","std.error","z.value","p.value","term","sig"
6810,"COYE",683,0.0437363913369664,0.00137358686410803,0.00198948716731669,0.690422580589274,0.489928480666041,"tmax","p > 0.05"
6810,"COYE",683,0.0437363913369664,0.000911704161218615,0.00184930124415523,0.492999268831988,0.622013103971209,"deltaED","p > 0.05"
6810,"COYE",683,0.0437363913369664,-0.00144122337457882,0.00221728249552327,-0.649995378346546,0.515695206948857,"tmin","p > 0.05"
6810,"COYE",683,0.0437363913369664,0.000549159081304188,0.00148661426186595,0.36940253796227,0.711827706536621,"deltaProp","p > 0.05"
6810,"COYE",683,0.0437363913369664,-0.00261094240501586,0.00235632038372697,-1.10805916845915,0.267836263467989,"tmax:deltaED","p > 0.05"
6810,"COYE",683,0.0437363913369664,0.00225379986990642,0.00226180790857476,0.996459452353147,0.319026958833786,"deltaED:tmin","p > 0.05"
5290,"AMGO",581,0.0218366485575726,-0.002681781608201,0.00204041843620119,-1.31432923787627,0.188735432139494,"tmax","p > 0.05"
5290,"AMGO",581,0.0218366485575726,-0.000939841289597426,0.00201768738606041,-0.465801241604871,0.641357776285292,"deltaED","p > 0.05"
5290,"AMGO",581,0.0218366485575726,0.00328569281244457,0.00227699567643632,1.44299475244808,0.149021949466511,"tmin","p > 0.05"
5290,"AMGO",581,0.0218366485575726,0.000101752692305051,0.00165618208940502,0.0614381069303833,0.95101030472419,"deltaProp","p > 0.05"
5290,"AMGO",581,0.0218366485575726,0.00122561170591392,0.00229754920519317,0.533443071923621,0.59372690849761,"tmax:deltaED","p > 0.05"
5290,"AMGO",581,0.0218366485575726,0.00415596973102078,0.00238557291654417,1.74212647293182,0.0814863162385189,"deltaED:tmin","p > 0.05"
4860,"CORA",310,0.0465588716567107,0.00236199202021702,0.00253999428521646,0.929920210436903,0.352412397954707,"tmax","p > 0.05"
4860,"CORA",310,0.0465588716567107,-0.00464584447921283,0.00333314049972918,-1.39383397717267,0.16336774527488,"deltaED","p > 0.05"
4860,"CORA",310,0.0465588716567107,-0.00471511980467523,0.00286077365853999,-1.64819743449456,0.0993121631298535,"tmin","p > 0.05"
4860,"CORA",310,0.0465588716567107,-0.00185301120512763,0.00253163842990339,-0.731941490238141,0.464204280663063,"deltaProp","p > 0.05"
4860,"CORA",310,0.0465588716567107,0.000200136312659579,0.00270398681228671,0.0740152695087769,0.940998235276019,"tmax:deltaED","p > 0.05"
4860,"CORA",310,0.0465588716567107,0.000979647549651483,0.00370859729849867,0.264155817092373,0.791659854994167,"deltaED:tmin","p > 0.05"
