"aou","param","Estimate","Std..Error","Adjusted.SE","z.value","Pr...z.."
2890,"(Intercept)",-0.695218836481781,0.0713297910095872,0.0714221929049147,9.73393294444675,0
2890,"dEDz",0.0568598652363638,0.0430760408434629,0.0431187654830797,1.31868026830862,0.187276
2890,"ppt",0.0165651501216135,0.00924167932011337,0.00925352159578227,1.79014550840448,0.0734305
2890,"tmax",3.79299951059006,2.55213303301645,2.55482486557217,1.48464169176645,0.1376388
2890,"tmin",-0.409822134750068,1.24853068314233,1.25018315368187,0.327809676160742,0.7430556
3160,"(Intercept)",-0.189922389953254,0.062436432989494,0.0624735573286422,3.0400444295843,0.0023654
3160,"ppt",0.00671407617118577,0.00874573938988689,0.00874869155418337,0.767437751074364,0.4428213
3160,"tmax",6.82768940101558,1.84302450338202,1.84430441138774,3.70204037839833,0.0002139
3160,"dEDz",-0.0124878765246601,0.026165244184091,0.0261765093325526,0.477064239773577,0.6333164
3160,"tmin",0.384362559903044,1.0438884693328,1.04441078549614,0.368018566296648,0.7128594
3370,"(Intercept)",0.0184785631261279,0.00563077023677127,0.00563610023201358,3.27860796746798,0.0010432
3370,"tmin",-0.0425064539947927,0.103581638417254,0.103661298184101,0.410051337764473,0.6817683
3370,"tmax",0.0426010204946885,0.124751546684524,0.124858585984261,0.341194161049193,0.7329574
3370,"ppt",-5.50298809979728e-05,0.000448405914368088,0.000448923714777988,0.122581808860749,0.9024383
3370,"dEDz",0.000158730955223032,0.00171889042414029,0.00172092255434894,0.0922359665877491,0.9265106
3870,"(Intercept)",-0.137565000993416,0.0203004606111303,0.0203331465105069,6.76555401409865,0
3870,"ppt",0.00431293648078215,0.00232828832612574,0.00233086267971368,1.85036060610484,0.0642616
3870,"tmin",1.32227909122861,0.506925504174488,0.507738363839809,2.60425286997969,0.0092075
3870,"tmax",-0.0330476324607408,0.273410154184929,0.273832813192021,0.120685436034894,0.9039402
3870,"dEDz",2.62224720195037e-05,0.00483326997531827,0.0048410844594561,0.00541665245444815,0.9956782
3940,"(Intercept)",0.00604969330352853,0.00807664748162346,0.00808339542155227,0.748409917866766,0.4542129
3940,"ppt",-0.000485575315848537,0.000817972101162006,0.00081848275448983,0.593262733007981,0.5530053
3940,"tmax",0.118840914909309,0.210696316582162,0.210831604754831,0.563676945150161,0.572974
3940,"tmin",0.063778319888169,0.153679215645488,0.15379832133645,0.41468801046695,0.6783703
3940,"dEDz",0.00059123900979867,0.0026132546382129,0.00261589525937328,0.22601784520238,0.8211875
4060,"(Intercept)",-0.0521645627430775,0.026167330275767,0.0262226071128513,1.98929734631582,0.0466684
4060,"dEDz",0.0405646536501416,0.0113821352469049,0.0114132601102573,3.55416885782576,0.0003792
4060,"tmax",-0.877673647893217,0.748107904316648,0.749088581422331,1.17165535513401,0.2413355
4060,"tmin",2.0931246902191,0.57627584172079,0.577840749868436,3.62232101265905,0.000292
4060,"ppt",-0.00119552908970941,0.00218410440352578,0.00218748663006557,0.546530924247788,0.584701
4090,"(Intercept)",0.0938785553904721,0.0241919661691638,0.0242134458497812,3.87712496490128,0.0001057
4090,"tmin",0.286393326567606,0.536028239335414,0.536424236490676,0.53389333867763,0.5934153
4090,"ppt",0.00109660671410201,0.00213501180662813,0.00213662866317134,0.513241600191931,0.6077823
4090,"dEDz",0.0049068297776089,0.0104815580346165,0.0104899634048579,0.467764241707129,0.6399532
4090,"tmax",0.154081874205067,0.449132910599437,0.44956548783583,0.342735103948491,0.7317978
4230,"(Intercept)",-0.253365508813268,0.0372460410462484,0.0372899247351557,6.79447627241799,0
4230,"dEDz",0.00997019099220213,0.0211480232836682,0.0211644115660848,0.471082834553217,0.6375816
4230,"tmax",0.447367135471702,1.0400199420449,1.04087495028353,0.429799117895805,0.6673418
4230,"ppt",-0.000912146677412169,0.00321626107159271,0.00321958010054002,0.283312310589563,0.7769374
4230,"tmin",-0.0197258373829268,0.590656181913837,0.591425258223661,0.0333530519852553,0.973393
4280,"(Intercept)",0.00497061914677944,0.00672745824407545,0.00674501730717672,0.73693200779347,0.4611637
4280,"dEDz",-0.00450964558223451,0.00511598163293232,0.00512342067518331,0.880202089217115,0.3787498
4280,"tmin",0.0310223293710312,0.129978629673692,0.130297938619419,0.238087645128776,0.8118131
4280,"ppt",-3.99623021310345e-05,0.00042241225919281,0.000423611990858336,0.0943370419002107,0.9248414
4280,"tmax",0.00220397149689359,0.110964004902756,0.111290807673026,0.0198037155356883,0.9842
4440,"(Intercept)",-0.205913954004968,0.0217213879303564,0.0217440492918429,9.469899154534,0
4440,"tmax",2.24043867751144,0.554691589129115,0.555274896507134,4.03482795927667,5.46e-05
4440,"tmin",1.95638960736756,0.485333026437097,0.485842541786436,4.02679765377059,5.65e-05
4440,"dEDz",-0.00317463175044422,0.00768709151960851,0.00769256305818327,0.412688427307343,0.6798349
4440,"ppt",0.000496791003168249,0.00159911650247034,0.00160043563242551,0.310409861604585,0.7562493
4520,"(Intercept)",0.0128160794543323,0.0213763251724237,0.0213931775418687,0.599073205897062,0.5491241
4520,"ppt",0.00546726019987155,0.00217869316718353,0.0021812832352513,2.50644213072205,0.0121953
4520,"tmax",-0.767353244662814,0.671996604871372,0.672378692611563,1.14125157905044,0.2537652
4520,"dEDz",0.00687222758112617,0.0105268178197992,0.0105333073601571,0.652428277857041,0.5141249
4520,"tmin",0.196794426577794,0.402847301628123,0.403140413390757,0.488153556530302,0.6254411
4560,"(Intercept)",0.00535858070451071,0.01464221232282,0.0146538555720063,0.365677188380878,0.714606
4560,"dEDz",-0.00598953628857302,0.00712059474831037,0.00712512985711994,0.840621351284966,0.4005601
4560,"tmin",-0.371407248417537,0.349170418815416,0.34939887426157,1.0629892531923,0.2877868
4560,"ppt",0.000408721024065423,0.000966533430612238,0.000967365265695942,0.422509509653916,0.6726532
4560,"tmax",0.0178976664263952,0.171797462615202,0.172020826321865,0.10404360221423,0.9171347
4610,"(Intercept)",-0.0375053438339835,0.0154621430158801,0.0154763977778399,2.42338975596027,0.0153764
4610,"dEDz",-0.00704207934295041,0.0094784573737844,0.00948430119793166,0.74249849261284,0.4577854
4610,"tmax",0.188453086877808,0.384668602440824,0.384951767938423,0.489549867213373,0.6244525
4610,"tmin",-0.11504774944749,0.297216125883538,0.297468972905289,0.386755459985805,0.6989373
4610,"ppt",0.000179586002187991,0.00099690852264892,0.000998037320561357,0.179939165087515,0.8572003
4650,"(Intercept)",-0.0322372982516257,0.0309792434488102,0.0310321249485123,1.0388363125346,0.2988809
4650,"ppt",-0.00126180258021769,0.00216187135499681,0.00216522039826897,0.582759418499137,0.5600553
4650,"tmin",0.407462927226289,0.667091663804375,0.668100617345166,0.609882578533494,0.5419396
4650,"tmax",0.330396535165804,0.610307498128774,0.611297691722923,0.540483858583846,0.5888634
