"aou","SPEC","nObs","Estimate","std.error","z.value","p.value","term","r2"
6810,"COYE",683,-0.0130992512227371,0.02638441256584,-0.496476894835125,0.619557984903974,"(Intercept)",0.000308981569786759
6810,"COYE",683,-0.0276652962224047,0.0105115181477084,-2.63190300712519,0.00849080990666518,"tmax",0.000308981569786759
6810,"COYE",683,0.00116481695329864,0.00188870683607355,0.616727239532942,0.537414651114876,"mean_tmax",0.000308981569786759
6810,"COYE",683,0.00565302393936893,0.00479500915525514,1.17893913365597,0.238422413415702,"tmin",0.000308981569786759
6810,"COYE",683,-0.0023919422106976,0.00174684676283103,-1.36929137780872,0.170908212105271,"mean_tmin",0.000308981569786759
6810,"COYE",683,0.00122476970701124,0.000448988839401533,2.72783998070813,0.00637505252786608,"tmax:mean_tmax",0.000308981569786759
6810,"COYE",683,-0.000534959823732729,0.000402739533722711,-1.32830223739856,0.184078280906847,"tmin:mean_tmin",0.000308981569786759
5290,"AMGO",581,0.0170715399224096,0.025535169897585,0.668550081745261,0.503782524549439,"(Intercept)",0.00102826003968348
5290,"AMGO",581,0.000215381374330446,0.0124069680752537,0.0173597105291206,0.986149650648142,"tmax",0.00102826003968348
5290,"AMGO",581,-0.00164251248025265,0.00179802943625851,-0.913507002238253,0.360975952556773,"mean_tmax",0.00102826003968348
5290,"AMGO",581,0.00779315572017579,0.00641752837504153,1.2143546961918,0.224612307419425,"tmin",0.00102826003968348
5290,"AMGO",581,0.002100391644043,0.00169546703925112,1.23882776569384,0.215409288972275,"mean_tmin",0.00102826003968348
5290,"AMGO",581,-7.35701546830357e-05,0.00053143404084511,-0.138437038331307,0.889895026458585,"tmax:mean_tmax",0.00102826003968348
5290,"AMGO",581,-0.000391768853703998,0.000553855755551519,-0.707348167419299,0.47935013924428,"tmin:mean_tmin",0.00102826003968348
4860,"CORA",310,-0.0370438121823377,0.0305098714048735,-1.21415825359462,0.224687298525212,"(Intercept)",0.00163828812514122
4860,"CORA",310,0.00180408189403986,0.0168992728290284,0.106755001371475,0.914983347092559,"tmax",0.00163828812514122
4860,"CORA",310,0.00298282071850079,0.00187266716686496,1.5928194669501,0.111200696709564,"mean_tmax",0.00163828812514122
4860,"CORA",310,-0.00857103750367254,0.00479903856546888,-1.78599054513644,0.0741007890249978,"tmin",0.00163828812514122
4860,"CORA",310,-0.00183080576893349,0.00188339210627403,-0.972078922299101,0.331011287149015,"mean_tmin",0.00163828812514122
4860,"CORA",310,-2.07347813021755e-05,0.000783341067506039,-0.0264696722312669,0.978882723173244,"tmax:mean_tmax",0.00163828812514122
4860,"CORA",310,0.0008509090690363,0.000725688142142208,1.1725547375274,0.240974409361723,"tmin:mean_tmin",0.00163828812514122
3930,"HAWO",295,-0.00997186063171654,0.0253732430186268,-0.393006941382939,0.694314354575293,"(Intercept)",0.0025298554468246
3930,"HAWO",295,0.00708228353853495,0.0145132870582411,0.487986181911381,0.625559628693378,"tmax",0.0025298554468246
3930,"HAWO",295,0.00148581645426122,0.0015959322269296,0.931002225025415,0.351852413208645,"mean_tmax",0.0025298554468246
3930,"HAWO",295,0.00157097764613433,0.00337208166503972,0.465877698758469,0.641303044975245,"tmin",0.0025298554468246
3930,"HAWO",295,-0.00178564477440621,0.00133753360919901,-1.3350279664939,0.181867193423666,"mean_tmin",0.0025298554468246
3930,"HAWO",295,-0.00031876134972202,0.000633986872648313,-0.502788564675604,0.615112934337004,"tmax:mean_tmax",0.0025298554468246
3930,"HAWO",295,-0.000467327637313882,0.000424288361641773,-1.1014387373379,0.270705753765766,"tmin:mean_tmin",0.0025298554468246
4950,"BHCO",692,-0.0382936607272219,0.0245162716368586,-1.56196918089494,0.118295249335875,"(Intercept)",0.000581893556706126
4950,"BHCO",692,-0.0068660345695108,0.0134605586984007,-0.510085407548988,0.609991627956676,"tmax",0.000581893556706126
4950,"BHCO",692,0.000815156750876643,0.00159366731867227,0.511497438220528,0.609002781778365,"mean_tmax",0.000581893556706126
4950,"BHCO",692,-0.00967669881243097,0.00414074287657517,-2.33694752387876,0.0194419128317269,"tmin",0.000581893556706126
4950,"BHCO",692,1.54523225894124e-05,0.00138449384900454,0.0111609904229786,0.991095002937798,"mean_tmin",0.000581893556706126
4950,"BHCO",692,0.000334836515453223,0.000559151582485363,0.598829594588491,0.549286525023435,"tmax:mean_tmax",0.000581893556706126
4950,"BHCO",692,0.000789958218405718,0.000379679506146959,2.08059219846319,0.0374712485950841,"tmin:mean_tmin",0.000581893556706126
4050,"PIWO",465,-0.00435138798621748,0.0301710625010147,-0.144223889565412,0.885323677011072,"(Intercept)",0.00267488480744105
4050,"PIWO",465,0.016168949951118,0.0135850702821342,1.19019994857015,0.233967813410061,"tmax",0.00267488480744105
4050,"PIWO",465,0.00122368983116284,0.00210810479309521,0.580469166035225,0.561598274097025,"mean_tmax",0.00267488480744105
4050,"PIWO",465,-0.00308778776052374,0.00558446762891297,-0.552924283155848,0.580315258653801,"tmin",0.00267488480744105
4050,"PIWO",465,-0.00141515921232268,0.00190601527020221,-0.742470028675346,0.457802604289077,"mean_tmin",0.00267488480744105
4050,"PIWO",465,-0.000637329164025125,0.000558870252446358,-1.14038841973665,0.254124515237678,"tmax:mean_tmax",0.00267488480744105
4050,"PIWO",465,0.000173134568317029,0.00044101778725072,0.392579558743742,0.694630039642783,"tmin:mean_tmin",0.00267488480744105
4930,"EUST",668,0.00655818431593881,0.0278166617667741,0.235764606512644,0.813615333908433,"(Intercept)",0.000269693178956754
