"aou","SPEC","nObs","Estimate","std.error","z.value","p.value","term","r2","sig"
6810,"COYE",683,0.000861192207179907,0.00164400794064709,0.523837011906971,0.600391908014095,"tmax",0.00137296443142254,"p > 0.05"
6810,"COYE",683,0.000495408354545771,0.00149821607460415,0.330665491408952,0.740897171158279,"deltaProp",0.00137296443142254,"p > 0.05"
6810,"COYE",683,-0.000508828861791128,0.00190748152669245,-0.266754280275222,0.789658358033025,"tmin",0.00137296443142254,"p > 0.05"
6810,"COYE",683,0.00143006180074856,0.00158305540058551,0.903355498626034,0.366337250301078,"deltaED",0.00137296443142254,"p > 0.05"
6810,"COYE",683,-0.00295141574524358,0.00165928218336345,-1.77873045033299,0.0752839644274479,"tmax:deltaProp",0.00137296443142254,"p > 0.05"
6810,"COYE",683,0.00106760895740942,0.00181873669769259,0.58700578196057,0.557199823493467,"deltaProp:tmin",0.00137296443142254,"p > 0.05"
5290,"AMGO",581,-0.00169507066380616,0.0017037043959961,-0.994932376643368,0.319769154830031,"tmax",0.00129653333613966,"p > 0.05"
5290,"AMGO",581,0.000112490868232873,0.00174129147924196,0.0646019747835924,0.948490912346594,"deltaProp",0.00129653333613966,"p > 0.05"
5290,"AMGO",581,0.00411557929715247,0.00198130129088944,2.07721022344104,0.0377821607001612,"tmin",0.00129653333613966,"p < 0.05"
5290,"AMGO",581,0.00143260141543003,0.00164351494122724,0.871669237372609,0.383388847057622,"deltaED",0.00129653333613966,"p > 0.05"
5290,"AMGO",581,-0.000382267115374903,0.00176491946045975,-0.21659181845914,0.828526462319931,"tmax:deltaProp",0.00129653333613966,"p > 0.05"
5290,"AMGO",581,0.000816430639599703,0.00195534150469572,0.417538643576612,0.676284464852845,"deltaProp:tmin",0.00129653333613966,"p > 0.05"
4860,"CORA",310,0.00186921923974467,0.0021913887785987,0.852983851153951,0.393668259629831,"tmax",0.0021987320838428,"p > 0.05"
4860,"CORA",310,-0.00159421801987188,0.00275046085179397,-0.579618509687952,0.56217190801839,"deltaProp",0.0021987320838428,"p > 0.05"
4860,"CORA",310,-0.0039898190741952,0.0023986707724966,-1.66334584968595,0.0962432258083206,"tmin",0.0021987320838428,"p > 0.05"
4860,"CORA",310,-0.00391251127338679,0.00312092073694968,-1.25364006431346,0.209972861982989,"deltaED",0.0021987320838428,"p > 0.05"
4860,"CORA",310,-0.00120886563215239,0.00176131420444002,-0.686342975662729,0.492496854655867,"tmax:deltaProp",0.0021987320838428,"p > 0.05"
4860,"CORA",310,0.00010902171997697,0.00162179444053623,0.067222896596515,0.946404257502459,"deltaProp:tmin",0.0021987320838428,"p > 0.05"
3930,"HAWO",295,0.000288704308477061,0.00170806540078767,0.169024153491971,0.865777642993303,"tmax",0.0122737847287256,"p > 0.05"
3930,"HAWO",295,0.000566114828407093,0.00208632807826821,0.271345065190805,0.786125649082879,"deltaProp",0.0122737847287256,"p > 0.05"
3930,"HAWO",295,-0.00144555126308127,0.00184339676388116,-0.784178040997396,0.432935648168145,"tmin",0.0122737847287256,"p > 0.05"
3930,"HAWO",295,-0.00118656849971635,0.00200947828422252,-0.590485853483825,0.55486496719938,"deltaED",0.0122737847287256,"p > 0.05"
3930,"HAWO",295,0.000370011663094082,0.00143450736679274,0.257936397999371,0.796455993514983,"tmax:deltaProp",0.0122737847287256,"p > 0.05"
3930,"HAWO",295,-0.000358747466645507,0.00130396781036654,-0.275119879335568,0.783224139189681,"deltaProp:tmin",0.0122737847287256,"p > 0.05"
4950,"BHCO",692,0.000842862429307838,0.00196422554055674,0.429106745587342,0.667845543466999,"tmax",0.00230863171179507,"p > 0.05"
4950,"BHCO",692,0.000530986627669644,0.00165151686065627,0.321514506039402,0.747820521111014,"deltaProp",0.00230863171179507,"p > 0.05"
4950,"BHCO",692,-0.00201563441260947,0.00196379375758733,-1.02639821764472,0.304703917829722,"tmin",0.00230863171179507,"p > 0.05"
4950,"BHCO",692,0.00013851801061417,0.00180305925739872,0.0768238814369365,0.938763652239278,"deltaED",0.00230863171179507,"p > 0.05"
4950,"BHCO",692,-0.00102640407140114,0.00179871106886074,-0.570633098984174,0.568248377073363,"tmax:deltaProp",0.00230863171179507,"p > 0.05"
4950,"BHCO",692,0.000989819390615229,0.00146106255304397,0.677465443593119,0.498110688120758,"deltaProp:tmin",0.00230863171179507,"p > 0.05"
4050,"PIWO",465,0.00148750149346615,0.00195441872403628,0.761096624368268,0.446599356563075,"tmax",0.00240241588327417,"p > 0.05"
4050,"PIWO",465,0.00100509447401163,0.00163450326014181,0.614923505214926,0.53860523905869,"deltaProp",0.00240241588327417,"p > 0.05"
4050,"PIWO",465,-0.00188223614240972,0.00233547152543649,-0.80593410020614,0.420280847821755,"tmin",0.00240241588327417,"p > 0.05"
4050,"PIWO",465,-0.00162228763329417,0.00180279656775303,-0.899872821100475,0.368187935425418,"deltaED",0.00240241588327417,"p > 0.05"
4050,"PIWO",465,-6.13814251323658e-05,0.00154181911215341,-0.0398110418067371,0.968243773122575,"tmax:deltaProp",0.00240241588327417,"p > 0.05"
4050,"PIWO",465,-0.00259860774753524,0.00211825755781485,-1.22676665920452,0.219910305427302,"deltaProp:tmin",0.00240241588327417,"p > 0.05"
4930,"EUST",668,-0.00179974611362215,0.00208952499355666,-0.861318299217248,0.389062759859749,"tmax",0.000284563753874534,"p > 0.05"
4930,"EUST",668,-0.00238178468776492,0.00188753038358332,-1.26185236989049,0.207001913611667,"deltaProp",0.000284563753874534,"p > 0.05"
4930,"EUST",668,-0.00695336019905275,0.00209589317212387,-3.31761193343961,0.000907905292791833,"tmin",0.000284563753874534,"p < 0.05"
4930,"EUST",668,0.00349862091661557,0.00192975079158482,1.81299105142084,0.0698332015183853,"deltaED",0.000284563753874534,"p > 0.05"
4930,"EUST",668,-0.000294780731486435,0.0020763863986445,-0.141968147970374,0.887105165046901,"tmax:deltaProp",0.000284563753874534,"p > 0.05"
4930,"EUST",668,-0.00228705405191166,0.00214940283038833,-1.06404161173383,0.287309849396914,"deltaProp:tmin",0.000284563753874534,"p > 0.05"
7610,"AMRO",739,0.00105440020909682,0.0011358088717526,0.928325385828195,0.353238809668212,"tmax",0.000480529789016471,"p > 0.05"
7610,"AMRO",739,0.00158473181971766,0.00120001339405127,1.32059510966588,0.186636404324575,"deltaProp",0.000480529789016471,"p > 0.05"
7610,"AMRO",739,-0.00246387064452079,0.00121910403710406,-2.02105035299007,0.0432745529283576,"tmin",0.000480529789016471,"p < 0.05"
7610,"AMRO",739,0.00225879649063409,0.00119375671755095,1.89217489411756,0.0584676822360717,"deltaED",0.000480529789016471,"p > 0.05"
7610,"AMRO",739,-0.000152875142705763,0.000997609722311051,-0.15324143228237,0.878207885271808,"tmax:deltaProp",0.000480529789016471,"p > 0.05"
7610,"AMRO",739,-0.00171784990844938,0.000896165798105974,-1.9168884954994,0.0552520989419234,"deltaProp:tmin",0.000480529789016471,"p > 0.05"
4880,"AMCR",731,-0.00116474996184592,0.00126106946347006,-0.923620780286681,0.355683790717201,"tmax",0.000663350948982511,"p > 0.05"
4880,"AMCR",731,0.00292402436550881,0.00112612507999236,2.59653604866756,0.00941690237360815,"deltaProp",0.000663350948982511,"p < 0.05"
