"stateroute","year","ED","propForest","meanPatchArea","deltaED","deltaEDrecent","recentChange","deltaProp","tmax","tmin"
2001,2016,0.151909807564592,0.341353648969404,135.670653907496,-0.00528827189351546,0.00201845501915127,0.0152674072725067,-0.00661788399300964,0.0452952660745342,0.0443300009913978
2002,2016,0.147703625324364,0.29782329377976,112.69304099142,-0.00518600256972262,0.00120928123346684,0.00932727060743833,-0.00707943466102336,0.0350778929570344,0.042074818744525
2004,2016,0.210052577966642,0.536994927409481,281.196120689655,-0.00109164617394973,2.46941526304278e-05,0.000904840898808117,-0.00643965880912448,0.0210912321781349,0.0392074816097236
2005,2016,0.195114220834972,0.419074518362795,181.347222222222,-0.00217785873045167,0.00179335136045963,0.0329378822489135,-0.00696783201071996,0.0161608291718434,0.0472031121387899
2008,2016,0.176766548511262,0.452396156028397,190.379367720466,0.000109759979123463,0.00106755022922675,0.389048991354462,-0.00677127340949844,0.0466459798639829,0.0243639239898103
2009,2016,0.169988146608353,0.310358385058109,117.678966789668,-0.00343355191065384,0.000424308600813189,0.00494308648133867,-0.00632258742606228,0.0347383564675502,0.0434149074503379
2010,2016,0.186796891739094,0.742265941716926,690.130177514793,0.00307245183913923,0.00144254532880489,0.0187803800265137,-0.00597765327574464,0.0496632603636841,0.0472081743818368
2015,2016,0.207371339799847,0.657204545868837,359.332225913621,0.000775981673934575,-0.000401034588220522,0.0206723741908541,-0.00579896014566876,0.0224364120826207,0.0711018437305875
2017,2016,0.193217552152913,0.749074093104511,511.166900420757,0.00142472510533347,0.00203473435412599,0.0571263704558569,-0.00540811838454424,0.0283304270822023,0.0869947234950256
2019,2016,0.194554399346653,0.605846518152653,287.65120593692,0.00222028580025243,0.00561518953706924,0.10116156282999,-0.00725566891873412,0.0327266414212737,0.0480558708295765
2022,2016,0.165763893752967,0.280686496540668,85.3639053254438,-0.00346758189162055,0.00108177099141588,0.0124786785169225,-0.0034903068649654,0.0183084299924811,0.019753776793582
2023,2016,0.183379513284791,0.658644242541401,384.749058971142,0.00157071976287132,0.00462658676461111,0.117820807351493,-0.00546392594024528,0.0173673353662016,0.0266129452179999
2025,2016,0.212584129472409,0.527007410191913,238.523076923077,0.000521312799676878,-0.000327919987523045,0.0251610923596196,-0.0076855647222078,0.0371703551591231,0.0524501792143245
2028,2016,0.203469992993205,0.626407469569327,362.233215547703,0.00124036565692776,0.00774413791979664,0.249737256962691,-0.00452606364777004,0.0198192886925366,0.0282395990517022
2030,2016,0.191445299815077,0.276368112284086,94.499335106383,-0.000817163068989455,0.000315011462917125,0.0154197601370647,-0.0052894702557232,0.0496076207517702,0.0592257606618886
2031,NA,NA,NA,NA,-0.00273135234453312,-0.000217824058667299,0.00318998109640859,-0.00399295702210312,0.0530209315992204,0.0613718125353403
2034,2016,0.18743308039663,0.627250050432165,393.879415347138,0.00178917803330075,0.0173253883276694,0.38733738074588,-0.00618546622596712,0.0364457735976022,0.0319017317891115
2035,2016,0.201829837302714,0.65293747717775,369.52812858783,0.00384257718992169,0.00539213697407392,0.0561304219284538,-0.00765943116809348,0.0394119392442417,0.0495986811273516
2038,2016,0.209135994062279,0.475243328497689,217.135838150289,0.00211497587800681,-0.0019736176242367,0.0373265273568353,-0.00838146486285888,0.0254959545863542,0.0349869008905973
2039,2016,0.202629287974419,0.593502536371398,302.349680170576,0.00239155547370712,0.00213875542013361,0.0357717885894297,-0.00944450955115436,0.0266318075045706,0.0486724696456987
2042,2016,0.185539268315265,0.261603591641829,76.144495412844,-0.000601233592646512,0.00162325190150958,0.107994757536042,-0.00447095580775496,0.0285681274822316,0.040175647675162
2043,2016,0.198886779704643,0.712418090366033,407.03431372549,0.00243338373926193,0.00321310983130102,0.0528171497073551,-0.00703761140246452,0.0282465309940075,0.0602835405114438
2046,2016,0.157377121984257,0.348168626275411,128.626743232158,-0.00201125803550611,0.00173200546247876,0.034446210916799,-0.00661821492411372,0.0199144980168471,0.0533019272956607
2047,2016,0.170427578167284,0.519746867063575,315.247474747475,0.00195478579457929,0.00187768016986553,0.0384222184358495,-0.00683542195761688,0.0296364900701323,0.0529821200016812
2048,NA,NA,NA,NA,-0.000171917631968194,0.000251433465401379,0.0585009140767823,-0.00021246127826416,0.0191136528997816,0.0211044163132406
2049,2016,0.184433437008025,0.446457781361594,176.569476082005,0.000954267941481396,0.000794839304227635,0.033317238049252,-0.00537034903812924,0.0179083749038853,0.025944404236913
2051,2016,0.197756608935452,0.713907403716205,496.841463414634,0.00189704758170679,0.0214920456213133,0.45316829854055,-0.00489883712525272,0.0270658899154464,0.0485922733914222
2052,2016,0.263191607475837,0.467376075449752,148.094072164948,0.00402268535558217,0.000756449648311897,0.00752183759301176,-0.0120363339847205,0.0304684458526548,0.0478247063608341
2053,2016,0.18605807828624,0.701413773522098,408.443557582668,0.00302837337719556,-0.000802835379584477,0.0106041795985929,-0.0071840059527306,0.00755623078347872,0.024868045817207
2054,2016,0.236790929807418,0.342811239050319,89.2108190091001,-0.000607684252857262,0.001220031044739,0.0803069053708437,-0.00651986144488196,0.061185090750304,0.0412664304699516
2056,2016,0.212106675270424,0.465887092665863,145.450629555997,-0.00117763928747304,-0.000254716500534907,0.00865176640230723,-0.00716339214454312,0.0312424838389713,0.0709941418697342
2062,2016,0.123330951464849,0.868775902819766,1660.25630252101,0.0022923981751223,0.00171054801297202,0.0298473106729072,-0.0030142582311878,0.0298457956342664,0.0324428093707274
2069,2016,0.247331621829108,0.460473745470155,147.37714663144,0.00244145252226744,0.00936924740591541,0.153502840140654,-0.0076906249742036,0.032366939261845,0.0332197847799408
2070,NA,NA,NA,NA,-0.0021614654853631,0.000722276164670327,0.0133664158796224,-0.00452560079753132,0.0338128443792842,0.0380740528792391
2072,2016,0.200804386665459,0.374033624515269,155.714652956298,-0.00540346948352942,-0.000354028931573602,0.00262075270455573,-0.00513811244946852,0.0496151000522011,0.0455544044637031
2105,2016,0.190415771811403,0.45593069324934,222.551282051282,-0.00170486848405625,0.00107483650160922,0.0252180508153204,-0.00757856711363972,0.024748059877762,0.0539796878059629
2109,2016,0.170115716994916,0.31599407977167,121.512372634643,-0.00337210754829112,7.57062446295753e-05,0.000898028826725184,-0.0062568939999016,0.035472384958019,0.0435584831553851
2111,2016,0.14543045616933,0.71135659239854,459.355555555556,-0.000540804453076438,0.00330367340091239,0.244352529430482,-0.00443156814794264,0.0344473088904271,0.0295496933629713
2140,NA,NA,NA,NA,-0.0021440296909571,0.00129730002057207,0.0242030234197541,-0.0045265274763106,0.0375159794823285,0.0310382338373189
2162,2016,0.0870422797178901,0.876891600504355,2089.95360824742,0.000638791624943498,0.00255205213107168,0.159804983748646,-0.00171134560192744,0.0303316184549839,0.0318744651993333
2201,2016,0.179871306926129,0.666193255552718,419.406535947712,0.000558459005296806,0.00399492536507678,0.286139202855442,-0.0059801790241502,0.0436352445692495,0.0435706953973329
2207,2016,0.217470739366257,0.573268151108574,277.945790080738,0.00022399847749548,-0.000356836996859844,0.0637213254035702,-0.00722475972975544,0.041664795529831,0.0609190115667242
2750,2016,0.159071650887285,0.425933319210651,164.910094637224,-0.000382779018039011,0.00178027278504733,0.186036611323967,-0.00282399335147552,0.0347170250851104,0.044677235644874
2751,2016,0.216244679247034,0.561150094526728,191.535233570863,0.000749533165543558,0.0013036569665619,0.069571676157465,-0.00684665792922676,0.037197838990265,0.0573341906359345
2753,2016,0.155345037864821,0.477670087804246,324.314993122421,0.000652190649070702,-0.0017423085182679,0.106858846918489,-0.00351281812325008,0.0181257944805199,0.0261451265688773
6001,NA,NA,NA,NA,-0.000798868097441498,0.000923115248415381,0.046221159731966,0.000133847968608316,0.0137972859085292,0.0841984339843056
6003,NA,NA,NA,NA,0.000211200090334369,0,0,9.18107975912696e-05,0.044067874476754,0.124456796801302
6005,2016,0.0677267779668552,0.253081451501633,411.420560747664,-0.00395040292560449,-2.68285578500366e-05,0.000271653888023903,0.000215165033957321,0.0251536283624884,0.0188008993756292
6009,2016,0.177941656895543,0.694603211584191,564.376543209877,-0.00221924674783463,0.0023754593272233,0.0428155964097475,0.00119377131960608,-0.0167174975899818,0.189826699296387
6010,NA,NA,NA,NA,-1.75958355947803e-05,-3.81332773517762e-10,8.66870507998794e-07,-5.06622554682614e-06,0.0501892546624813,0.0231836734006501
6011,2016,0.167676023756244,0.819032260501091,2270.83769633508,-0.00979021527281762,-7.84726023059235e-06,3.20616452730315e-05,0.003577357977506,0.0268906311675642,0.0648806061416412
6012,NA,NA,NA,NA,-0.00201897575649009,-2.6107501990697e-05,0.000517242505894848,-0.00088808826056971,0.00268431884756171,0.0128495789932724
6013,NA,NA,NA,NA,-0.00205812338056253,3.13956956501261e-05,0.000610181021150345,-0.000948062217809427,0.0108217060195256,0.0319604910926664
6014,2016,0.157551852699883,0.536354132015397,291.777908343126,-0.000570606507022418,0.00171078268307751,0.11992731677771,-0.00393816989454492,0.0050689509054658,0.0527987227328252
6016,NA,NA,NA,NA,-0.00587655111409299,-0.000958370769691519,0.00652335528839819,-0.00586439551437116,0.00638837972491596,0.0248199086737794
6018,NA,NA,NA,NA,-9.0336280375872e-05,0,0,NA,0.0230961619406206,0.0324090473779925
6019,NA,NA,NA,NA,-0.000147478928770983,0,0,NA,0.0221200734219067,0.0613690859114793
