"x"
3000
2940
2890
2881
3120
3190
3160
3200
3880
3870
4120
4020
4090
3930
3960
3940
4021
4060
4320
4290
4330
4470
4520
4440
4430
4560
4570
4590
4540
4610
4480
4620
4670
4641
4650
4680
4691
4660
6870
4690
4640
4750
4840
4812
4770
4780
4910
4880
4900
4980
5070
4950
5080
5060
5100
4940
5011
5010
5110
4970
5220
5190
5290
5210
5170
5180
5330
5300
5580
5870
5810
5630
5610
6050
5600
5780
5480
5520
5460
5850
5540
5840
5730
5400
5900
5880
5950
5970
5960
6040
5930
6010
5980
6100
6070
6080
6160
6170
6130
6140
6120
6150
6190
7030
6280
6290
6310
6270
6240
6292
6330
6291
6590
6520
6370
6730
6670
6810
6710
6850
6480
6630
6740
6360
6760
6770
6410
6390
6650
6460
6620
6790
6450
6800
6860
6570
6540
6840
6380
6882
7050
7040
7020
7210
7180
7190
7150
7222
7221
7240
7280
7260
7290
7270
7360
7350
7310
7380
7430
7480
7510
7680
7550
7560
7590
7610
7660
7580
7540
7670
6220
6830
5990
5620
5120
