"stateroute","mean_tmax","mean_tmin","year"
2001,29.2304322116346,16.4772056280848,1990
2002,29.2892104351159,16.5696627876975,1990
2004,29.1687993212444,16.260222467562,1990
2005,29.6193475928113,16.555661167336,1990
2008,29.8961152175687,16.9753047587737,1990
2009,28.4771544286104,16.0974810527262,1990
2010,30.1051592515342,16.2701293906974,1990
2015,30.1154591716253,16.6607406047674,1990
2016,29.6424853361106,16.6003292614901,1990
2017,30.3907945337694,16.9410113538512,1990
2019,30.0275990028116,17.3296147808951,1990
2022,31.3527791329399,18.6937764720608,1990
2023,30.8473648109821,18.2034824352072,1990
2025,30.7677457372066,17.6600583394368,1990
2027,31.0570065421516,18.0355912927203,1990
2028,30.8521783363306,17.0070938493647,1990
2030,31.8880480718395,18.6940885482858,1990
2031,32.2887433852065,18.9294369955198,1990
2034,31.4139101164682,18.5256558528968,1990
2035,31.5423449473256,18.8806792732656,1990
2038,31.2386174478219,18.6181527000831,1990
2039,31.3727230185611,18.3249438311858,1990
2042,31.2787575448951,21.0383688667001,1990
2043,30.4188010613327,17.5126988589001,1990
2046,29.4412224109356,16.6458405714769,1990
2047,30.4357273834305,17.7085690629155,1990
2048,31.0525555898977,18.4710253027982,1990
2049,30.8588752962345,18.2942343923301,1990
2051,30.701570786863,17.2855422244207,1990
2052,31.2256876156091,18.7652865779457,1990
2053,31.2211727168724,18.4016925064437,1990
2054,31.6995492383396,19.0781464500688,1990
2055,31.5412907288901,18.6040074334073,1990
2056,30.8385170439532,16.7965695673688,1990
2062,29.2138434868354,16.2197984918371,1990
2069,31.0210122028029,19.315523584205,1990
2070,31.0522175582208,21.2140019070698,1990
2072,28.9554259449828,16.2284832327974,1990
2073,27.9455575853446,15.9667697176687,1990
2105,29.4399263624379,16.5093056726799,1990
2109,28.4032103004369,16.0610159962626,1990
2111,29.4507172451744,16.4747847182841,1990
2140,30.666146007744,21.2036326898111,1990
2142,31.2869668339574,20.8209006509116,1990
2162,29.1349115420863,16.2335952950507,1990
2201,29.1846365692592,16.5865050117568,1990
2207,29.5026196446912,16.5123918330532,1990
2750,29.6891626426973,16.712181178633,1990
2751,30.4499020749148,17.0636899889678,1990
2753,31.491593517543,18.6776843692945,1990
4001,22.2792904333635,7.61899721514095,1990
4002,22.4561565229429,7.81599808297615,1990
4003,20.1737315692428,6.09324659989058,1990
4004,20.2628076179176,6.6467814821946,1990
4005,15.0042112877819,4.25031814649124,1990
4006,23.2673004889021,8.44406930956186,1990
4007,22.1605593697268,7.96918419949479,1990
4009,20.5441485786907,6.76233477791639,1990
4010,14.307149848848,2.77478993185335,1990
4011,22.0753148673871,7.52163077931885,1990
4012,22.0236100336952,7.47729234898825,1990
4013,20.5024490789934,6.77245034304532,1990
4015,18.010203379254,5.36329916466114,1990
4016,14.8212676232149,1.42774231293284,1990
4018,21.2837167293467,7.35604451339577,1990
4019,20.948475193333,7.08947335492383,1990
4020,20.22658253587,6.89397681031597,1990
4022,18.5412963939504,6.12983874913076,1990
4024,14.6513181596644,2.17873834055136,1990
4025,13.9273816575395,1.27284416606117,1990
4026,21.0669864809684,7.17085069446472,1990
4027,21.0120854830373,7.14028419300947,1990
4028,19.936090407833,7.48440503245844,1990
4029,20.1753121896872,7.7153035565802,1990
4030,20.154127075122,6.77636431959959,1990
4031,20.1368081074841,6.33788586899919,1990
4036,21.0848989418085,7.06050040453172,1990
4037,20.7257781370187,6.70720164216595,1990
4038,20.6214611547792,7.32202154150219,1990
4040,20.3986692618375,6.59689369011874,1990
4043,19.2926769212945,6.63635692552789,1990
4045,19.4942409719898,6.20404081633597,1990
4046,19.4066036845362,6.9273930993191,1990
4049,19.9994041293447,7.0408040631202,1990
4050,19.4957521125062,7.07402170956407,1990
4055,19.992532038094,6.56820398663718,1990
4062,20.4110882622855,6.72695576989806,1990
4063,20.4293329531419,6.86285598533549,1990
4064,19.9793811398883,6.53367260555888,1990
4073,21.1129481832281,6.66364148465432,1990
4077,18.9622297674992,6.37338576633364,1990
4078,19.8416722586791,6.77337493723874,1990
4079,19.1538279734051,6.52839277623274,1990
4101,21.7944839209841,6.81006593034978,1990
4102,22.2010985062901,7.67882262084847,1990
4103,22.0222683543251,7.66272741385869,1990
4104,20.6301909499212,6.7644487203808,1990
4105,14.9503303358826,3.48996869739664,1990
4106,22.9124304904442,8.02242601678727,1990
4107,22.6428956227882,7.95735020838051,1990
4108,22.0264662047963,7.87980798674218,1990
4109,19.8390667262111,6.6223821776579,1990
4110,19.0146024397862,5.91100890194928,1990
4111,21.9080964403311,7.5147370714473,1990
4112,21.3810030922818,7.2056518547499,1990
4113,20.788349247196,6.8948134919777,1990
4114,19.2213851784078,6.20790227894534,1990
4115,18.6218986187166,6.12915233732427,1990
4116,15.4972301456541,2.61198638168631,1990
4119,21.024459126484,7.26165173427168,1990
4120,20.7740877885753,7.37718222407382,1990
4121,19.2018378082494,6.91487369901525,1990
4122,18.6320687729178,6.43425721913865,1990
4123,14.1407476054679,1.93738772553041,1990
4125,14.5321908659405,1.89977019051959,1990
4126,21.1844845354138,7.20590344971739,1990
4127,20.8116882527787,7.19963445906849,1990
4128,20.5967376489433,7.34309586289404,1990
4129,19.9338514179203,7.52355928060293,1990
4130,20.0236234664917,6.57260242514654,1990
4131,19.4184393918604,5.81801368359635,1990
4136,20.8988986311917,6.94633600700415,1990
4137,20.7405925846975,7.06402413013878,1990
4138,20.5135832414132,7.0086195506576,1990
4139,20.4621497895983,7.50768302705553,1990
4141,17.0076981724559,5.83669029693781,1990
4143,18.2143018830497,5.93648771295008,1990
4147,19.6936313479727,6.53286674385247,1990
4149,20.1719543804574,7.21275473985651,1990
4152,20.3207685437265,7.11097143831211,1990
4153,20.0479568262942,7.07161530333089,1990
4154,20.3371873234095,7.12730860549412,1990
4155,19.664389032368,6.4960297067875,1990
4157,20.048361264417,7.25214495944342,1990
4164,20.0076926197725,6.58827069114236,1990
4196,11.9547493066854,-1.16883542325657,1990
4201,18.6063332785887,5.10156551416335,1990
4202,22.1104120870607,7.26042795708749,1990
4203,21.2560286100521,7.08398886946745,1990
4204,18.3562369566697,5.73177051055126,1990
4205,14.9360767819103,4.18632701394472,1990
4206,23.02084240995,8.50148189796504,1990
4207,22.3091023593273,8.00752906081746,1990
4208,21.5240071172671,7.41158203159213,1990
4209,20.0257167464577,6.66939696408637,1990
4211,22.3859029353666,7.71822887873478,1990
4212,21.0527559326916,7.0839741230011,1990
4213,21.6475314584751,7.42314175610403,1990
4214,19.7644930960118,6.54586658806636,1990
4218,21.5299023349269,7.55205663585879,1990
4219,20.9906876692131,7.09336509514804,1990
4220,20.2321757208167,7.26297598261291,1990
4221,19.2203146277534,6.87309598604838,1990
4222,18.8922422693131,6.7393837448553,1990
4225,13.7914677503203,1.02252807883077,1990
4227,20.7632675395822,6.88164351008973,1990
4228,20.6867782812324,7.53249788856049,1990
4229,20.0784975567986,7.06231791552375,1990
4230,19.7655813621752,6.34667518811348,1990
4231,19.3313641820635,5.65962877387092,1990
4237,20.6662680777887,6.78083350311526,1990
4239,20.6177768880278,7.41360588787364,1990
4240,20.4405550147003,7.04619891126201,1990
4241,19.9055077004756,6.28360410621263,1990
4252,20.36920324186,7.14294564084309,1990
4253,20.3790074175054,7.22930717034773,1990
4254,20.3518257937686,7.13118448611479,1990
4255,19.7582122655013,6.58577169209787,1990
4301,21.0894239358341,6.65283071069156,1990
4302,22.3435780362385,7.67624050814931,1990
4304,18.073724998253,5.22088932991028,1990
4306,22.5337166251317,7.8087154993863,1990
4307,22.5731910981442,8.08029028899652,1990
4308,21.0463030189989,7.17822498111634,1990
4309,20.5363910311744,6.84539214542934,1990
4310,18.3361592652663,5.31415179203141,1990
4311,21.9029349566064,7.41314202896047,1990
4312,21.5625042073867,7.28228398469778,1990
