"stateroute","year","tmax","tmin"
44410,1990,22.4176190996927,9.48904761435494
44410,1990,22.5494444635179,8.97305560774273
34029,1990,25.4806409738003,13.8716666881855
89142,1990,22.243809563773,9.67714279038566
89142,1990,21.9886665344238,9.4833332379659
89142,1990,21.6276469885134,9.0539215966767
69409,1990,20.2378666432699,8.43719999949137
64115,1990,23.0780953679766,9.26797619887761
81704,1990,20.3550666554769,5.18493334531784
81705,1990,23.1361538324601,8.94102556888874
81705,1990,22.0756251215935,8.78749997913837
81706,1990,21.2118750413259,8.25333332767089
81706,1990,20.149666595459,6.90233338475227
34039,1990,26.7733333829849,15.2336507222009
34045,1990,26.6597619283767,15.2921428339822
34002,1990,23.6837037875329,12.6564197245939
34003,1990,23.9407245525415,12.888405792955
34006,1990,23.5659259690179,13.8029629036232
34007,1990,24.8973611725701,14.3458333015442
34008,1990,24.9698765366166,14.4702468919165
34009,1990,25.0464516711491,13.6090322617562
34012,1990,24.0476543285229,12.910617304437
34013,1990,24.7981481669862,13.8032097757598
34015,1990,24.9275308773841,13.369382728765
34016,1990,24.3426666895549,13.374222252104
34017,1990,24.4862962652136,13.6708642700572
34019,1990,25.4742221832275,15.0639999919467
34020,1990,25.7836666107178,15.0141111691793
34021,1990,25.9836904207865,14.6722619079408
34022,1990,25.2567857106527,14.8860714094979
34023,1990,24.9828572273254,14.0849999927339
34024,1990,25.3338096028283,14.2198809669131
34026,1990,24.8143938526963,13.4553030982162
34027,1990,25.5317332712809,14.172799949646
34028,1990,25.6084614778176,14.5173076360654
34030,1990,25.7204762186323,13.9334523337228
34031,1990,25.5191665831066,13.6580952122098
34032,1990,25.0968965552319,13.8693103680665
34033,1990,25.5717204719461,14.3063441040695
34034,1990,25.0770667266846,13.8197333272298
34036,1990,25.9355071523915,14.8437681474547
34037,1990,26.2742528367317,15.0149425418898
34040,1990,26.2958665974935,15.0418666966756
34041,1990,26.5177778402964,15.2151389254464
34042,1990,26.6044048354739,15.1945239021665
34043,1990,26.4979486954518,15.0342306968493
34046,1990,26.44749997911,15.2498809383029
34048,1990,26.8187654283312,15.4532098181454
34049,1990,27.8174667612712,16.3271999740601
34050,1990,27.8849332936605,16.0079999923706
34052,1990,27.6011495042121,16.5033333000095
34053,1990,27.4223188040913,15.1653623719146
34055,1990,27.1197100929592,15.4931883742844
34056,1990,27.2193104974155,15.6148275835761
34057,1990,27.3723999023438,15.4254666519165
34064,1990,26.7296295636966,15.5724690872946
34066,1990,23.7576544019911,12.0743209933057
34067,1990,24.9517856779553,14.3494048572722
34068,1990,24.5404762994675,13.5651191189176
34069,1990,24.4810714494614,13.2704761425654
34071,1990,25.626133295695,14.733866742452
34072,1990,25.975222184923,14.8578888363308
34073,1990,26.0102380116781,14.2089285169329
34074,1990,26.5429486250266,15.0287180069165
34075,1990,26.6258620338878,15.6073563893636
34076,1990,26.8176542446937,15.4985185081576
34135,1990,26.1734665934245,15.4784000523885
34307,1990,25.8185714312962,14.9769047782535
35002,1990,24.5891954707003,13.4263217531402
35011,1990,24.968045969119,13.9125287943873
35013,1990,24.3609722190433,13.4831944174237
35014,1990,25.0111112594604,13.832916630639
35028,1990,24.602948873471,13.3628204296797
35115,1990,24.4701282305595,13.195897493607
35301,1990,24.5651112026638,13.3096666865879
36004,1990,25.2202381860642,14.320714371545
36033,1990,25.4160783992094,12.6468627219107
38013,1990,27.2225640370296,16.4353846158737
38016,1990,28.2892000071208,15.9936000188192
38317,1990,27.4145833386315,16.1052777767181
49057,1990,24.7429165575239,11.8500000437101
50006,1990,24.8051189922151,11.8552381140845
52032,1990,26.386321846096,15.2463219302824
52126,1990,26.4303175305563,15.3663491294498
52136,1990,25.9750000900692,14.9897222386466
66001,1990,24.7062962849935,12.7674074114105
66024,1990,24.5984615423741,13.7125641138126
66025,1990,24.4249382725468,13.3859259405254
66035,1990,24.8996000417074,13.6758667373657
66113,1990,23.6646428108215,13.1313095319839
67024,1990,29.8379011978338,18.2172839317793
35029,1990,25.0592753645303,14.1926087089207
27019,1990,31.1078207064898,17.3006410354223
27304,1990,33.0553333282471,18.7100001017253
27304,1990,33.0665151711666,18.7503031383861
27305,1990,32.7783331726537,20.1163635253906
27307,1990,33.1098665618896,18.8607999547323
27309,1990,32.7870668029785,18.6873332722982
27310,1990,32.6204168001811,19.0716666380564
27312,1990,32.9277778437108,19.0833333333333
27316,1990,33.3725333150228,19.3599999491374
27318,1990,32.4296968055494,18.7280303348194
27320,1990,32.3897101913673,19.0108696896097
27322,1990,31.0112000274658,17.4090666834513
27325,1990,31.5581156965615,17.1255071888799
27332,1990,30.2403029239539,17.3113636392536
27333,1990,29.914242253159,17.120000073404
27334,1990,29.5793652004666,17.1822223209199
27335,1990,27.3101515914455,13.6725757916768
27336,1990,27.3626088405001,15.6644927453304
58016,1990,19.3973563073695,7.11436782481855
63916,1990,29.7868752479553,15.6906249721845
64120,1990,24.9690323081068,9.33967742868649
61206,1990,21.0569444364972,8.16888888014687
46124,1990,27.4961404298481,15.351578929968
46124,1990,27.4323809487479,15.2328570683797
47115,1990,23.8646032242548,11.63523806466
49134,1990,23.6335897934742,11.3010256045904
49912,1990,21.0682050998394,7.58448718450008
49913,1990,21.3478888829549,7.71944440470801
