"ID","COUNT","Red","Green","Blue","Opacity","X2006.Color_Red","X2006.Color_Green","X2006.Color_Blue","X2011.Color_Red","X2011.Color_Green","X2011.Color_Blue","Change.Color_Red","Change.Color_Green","Change.Color_Blue","X2006.Code","X2011.Code","X2006.2011.Code","X2006.Class","X2011.Class","X2006.2011.Class"
4,0,221,201,201,255,0,0.976470588235294,0,0.866666666666667,0.788235294117647,0.788235294117647,0.866666666666667,0.788235294117647,0.788235294117647,1,21,121,"Unclassified","Developed, Open Space","Unclassified to Developed, Open Space"
5,0,216,147,130,255,0,0.976470588235294,0,0.847058823529412,0.576470588235294,0.509803921568627,0.847058823529412,0.576470588235294,0.509803921568627,1,22,122,"Unclassified","Developed, Low Intensity","Unclassified to Developed, Low Intensity"
6,0,237,0,0,255,0,0.976470588235294,0,0.929411764705882,0,0,0.929411764705882,0,0,1,23,123,"Unclassified","Developed, Medium Intensity","Unclassified to Developed, Medium Intensity"
7,0,170,0,0,255,0,0.976470588235294,0,0.666666666666667,0,0,0.666666666666667,0,0,1,24,124,"Unclassified","Developed, High Intensity","Unclassified to Developed, High Intensity"
9,0,104,170,99,255,0,0.976470588235294,0,0.407843137254902,0.666666666666667,0.388235294117647,0.407843137254902,0.666666666666667,0.388235294117647,1,41,141,"Unclassified","Deciduous Forest","Unclassified to Deciduous Forest"
10,0,28,99,48,255,0,0.976470588235294,0,0.109803921568627,0.388235294117647,0.188235294117647,0.109803921568627,0.388235294117647,0.188235294117647,1,42,142,"Unclassified","Evergreen Forest","Unclassified to Evergreen Forest"
11,0,181,201,142,255,0,0.976470588235294,0,0.709803921568627,0.788235294117647,0.556862745098039,0.709803921568627,0.788235294117647,0.556862745098039,1,43,143,"Unclassified","Mixed Forest","Unclassified to Mixed Forest"
12,0,204,186,124,255,0,0.976470588235294,0,0.8,0.729411764705882,0.486274509803922,0.8,0.729411764705882,0.486274509803922,1,52,152,"Unclassified","Shrub/Scrub","Unclassified to Shrub/Scrub"
13,0,226,226,193,255,0,0.976470588235294,0,0.886274509803922,0.886274509803922,0.756862745098039,0.886274509803922,0.886274509803922,0.756862745098039,1,71,171,"Unclassified","Grassland/Herbaceous","Unclassified to Grassland/Herbaceous"
14,0,219,216,61,255,0,0.976470588235294,0,0.858823529411765,0.847058823529412,0.235294117647059,0.858823529411765,0.847058823529412,0.235294117647059,1,81,181,"Unclassified","Pasture/Hay","Unclassified to Pasture/Hay"
15,0,170,112,40,255,0,0.976470588235294,0,0.666666666666667,0.43921568627451,0.156862745098039,0.666666666666667,0.43921568627451,0.156862745098039,1,82,182,"Unclassified","Cultivated Crops","Unclassified to Cultivated Crops"
21,20797,221,201,201,255,0.27843137254902,0.419607843137255,0.627450980392157,0.866666666666667,0.788235294117647,0.788235294117647,0.866666666666667,0.788235294117647,0.788235294117647,11,21,1121,"Open Water","Developed, Open Space","Open Water to Developed, Open Space"
22,12190,216,147,130,255,0.27843137254902,0.419607843137255,0.627450980392157,0.847058823529412,0.576470588235294,0.509803921568627,0.847058823529412,0.576470588235294,0.509803921568627,11,22,1122,"Open Water","Developed, Low Intensity","Open Water to Developed, Low Intensity"
23,8476,237,0,0,255,0.27843137254902,0.419607843137255,0.627450980392157,0.929411764705882,0,0,0.929411764705882,0,0,11,23,1123,"Open Water","Developed, Medium Intensity","Open Water to Developed, Medium Intensity"
24,4930,170,0,0,255,0.27843137254902,0.419607843137255,0.627450980392157,0.666666666666667,0,0,0.666666666666667,0,0,11,24,1124,"Open Water","Developed, High Intensity","Open Water to Developed, High Intensity"
26,22686,104,170,99,255,0.27843137254902,0.419607843137255,0.627450980392157,0.407843137254902,0.666666666666667,0.388235294117647,0.407843137254902,0.666666666666667,0.388235294117647,11,41,1141,"Open Water","Deciduous Forest","Open Water to Deciduous Forest"
27,23156,28,99,48,255,0.27843137254902,0.419607843137255,0.627450980392157,0.109803921568627,0.388235294117647,0.188235294117647,0.109803921568627,0.388235294117647,0.188235294117647,11,42,1142,"Open Water","Evergreen Forest","Open Water to Evergreen Forest"
28,3349,181,201,142,255,0.27843137254902,0.419607843137255,0.627450980392157,0.709803921568627,0.788235294117647,0.556862745098039,0.709803921568627,0.788235294117647,0.556862745098039,11,43,1143,"Open Water","Mixed Forest","Open Water to Mixed Forest"
29,195410,204,186,124,255,0.27843137254902,0.419607843137255,0.627450980392157,0.8,0.729411764705882,0.486274509803922,0.8,0.729411764705882,0.486274509803922,11,52,1152,"Open Water","Shrub/Scrub","Open Water to Shrub/Scrub"
30,171970,226,226,193,255,0.27843137254902,0.419607843137255,0.627450980392157,0.886274509803922,0.886274509803922,0.756862745098039,0.886274509803922,0.886274509803922,0.756862745098039,11,71,1171,"Open Water","Grassland/Herbaceous","Open Water to Grassland/Herbaceous"
31,25690,219,216,61,255,0.27843137254902,0.419607843137255,0.627450980392157,0.858823529411765,0.847058823529412,0.235294117647059,0.858823529411765,0.847058823529412,0.235294117647059,11,81,1181,"Open Water","Pasture/Hay","Open Water to Pasture/Hay"
32,195024,170,112,40,255,0.27843137254902,0.419607843137255,0.627450980392157,0.666666666666667,0.43921568627451,0.156862745098039,0.666666666666667,0.43921568627451,0.156862745098039,11,82,1182,"Open Water","Cultivated Crops","Open Water to Cultivated Crops"
38,0,221,201,201,255,0.819607843137255,0.866666666666667,0.976470588235294,0.866666666666667,0.788235294117647,0.788235294117647,0.866666666666667,0.788235294117647,0.788235294117647,12,21,1221,"Perennial Ice/Snow","Developed, Open Space","Perennial Ice/Snow to Developed, Open Space"
39,0,216,147,130,255,0.819607843137255,0.866666666666667,0.976470588235294,0.847058823529412,0.576470588235294,0.509803921568627,0.847058823529412,0.576470588235294,0.509803921568627,12,22,1222,"Perennial Ice/Snow","Developed, Low Intensity","Perennial Ice/Snow to Developed, Low Intensity"
40,0,237,0,0,255,0.819607843137255,0.866666666666667,0.976470588235294,0.929411764705882,0,0,0.929411764705882,0,0,12,23,1223,"Perennial Ice/Snow","Developed, Medium Intensity","Perennial Ice/Snow to Developed, Medium Intensity"
